genelist,Ensembl.ID
A1BG,ENSG00000121410
A1BG-AS1,ENSG00000268895
A1CF,ENSG00000148584
A2M,ENSG00000175899
A2M-AS1,ENSG00000245105
A2ML1,ENSG00000166535
A2ML1-AS1,ENSG00000256661
A2ML1-AS2,ENSG00000256904
A4GALT,ENSG00000128274
AACS,ENSG00000081760
AACSP1,ENSG00000250420
AADACL2-AS1,ENSG00000242908
AADACP1,ENSG00000240602
AADAT,ENSG00000109576
AAGAB,ENSG00000103591
AAR2,ENSG00000131043
AARD,ENSG00000205002
AARS1,ENSG00000090861
AARS2,ENSG00000124608
AARSD1,ENSG00000266967
AASDH,ENSG00000157426
AASDHPPT,ENSG00000149313
AASS,ENSG00000008311
AATBC,ENSG00000215458
AATK,ENSG00000181409
ABALON,ENSG00000281376
ABCA11P,ENSG00000251595
ABCA12,ENSG00000144452
ABCA13,ENSG00000179869
ABCA17P,ENSG00000238098
ABCA2,ENSG00000107331
ABCA3,ENSG00000167972
ABCA4,ENSG00000198691
ABCA6,ENSG00000154262
ABCA7,ENSG00000064687
ABCB1,ENSG00000085563
ABCB10,ENSG00000135776
ABCB11,ENSG00000073734
ABCB4,ENSG00000005471
ABCB6,ENSG00000115657
ABCB7,ENSG00000131269
ABCC1,ENSG00000103222
ABCC10,ENSG00000124574
ABCC11,ENSG00000121270
ABCC12,ENSG00000140798
ABCC3,ENSG00000108846
ABCC4,ENSG00000125257
ABCC5,ENSG00000114770
ABCC5-AS1,ENSG00000223882
ABCC6P1,ENSG00000256340
ABCC6P2,ENSG00000255277
ABCC8,ENSG00000006071
ABCC9,ENSG00000069431
ABCD1,ENSG00000101986
ABCD1P2,ENSG00000215151
ABCD1P3,ENSG00000261233
ABCD1P4,ENSG00000225293
ABCD1P5,ENSG00000214330
ABCD2,ENSG00000173208
ABCD3,ENSG00000117528
ABCE1,ENSG00000164163
ABCF1,ENSG00000204574
ABCF2,ENSG00000033050
ABCF2P1,ENSG00000242159
ABCF2P2,ENSG00000228769
ABCF3,ENSG00000161204
ABCG1,ENSG00000160179
ABCG2,ENSG00000118777
ABCG4,ENSG00000172350
ABCG8,ENSG00000143921
ABHD10,ENSG00000144827
ABHD11,ENSG00000106077
ABHD11-AS1,ENSG00000225969
ABHD12B,ENSG00000131969
ABHD14A-ACY1,ENSG00000114786
ABHD14B,ENSG00000114779
ABHD15,ENSG00000168792
ABHD16A,ENSG00000204427
ABHD17A,ENSG00000129968
ABHD17AP1,ENSG00000198658
ABHD17AP5,ENSG00000263366
ABHD17AP6,ENSG00000226981
ABHD17AP7,ENSG00000260864
ABHD17AP9,ENSG00000261536
ABHD17B,ENSG00000107362
ABHD17C,ENSG00000136379
ABHD2,ENSG00000140526
ABHD3,ENSG00000158201
ABHD4,ENSG00000100439
